ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2023-11-01 00:00:00.282965659+00:00,2023-11-01 00:00:00.282079415+00:00,0,1,78460,T,A,0,80.86,2,0,16699,170595452,CLF4
2023-11-01 00:00:00.287575684+00:00,2023-11-01 00:00:00.285762441+00:00,0,1,78460,T,A,0,80.85,1,0,16880,170595785,CLF4
2023-11-01 00:00:00.287635022+00:00,2023-11-01 00:00:00.285773975+00:00,0,1,78460,T,A,0,80.85,1,0,15108,170595787,CLF4
2023-11-01 00:00:00.290538112+00:00,2023-11-01 00:00:00.288700161+00:00,0,1,78460,T,B,0,80.85,1,0,14342,170595961,CLF4
2023-11-01 00:00:00.307233280+00:00,2023-11-01 00:00:00.306522683+00:00,0,1,78460,T,A,0,80.83,2,0,14425,170596673,CLF4
2023-11-01 00:00:00.364871948+00:00,2023-11-01 00:00:00.363779475+00:00,0,1,78460,T,A,0,80.82,1,0,15681,170597730,CLF4
2023-11-01 00:00:00.503139191+00:00,2023-11-01 00:00:00.502853425+00:00,0,1,78460,T,A,0,80.81,2,0,16663,170598618,CLF4
2023-11-01 00:00:00.646034836+00:00,2023-11-01 00:00:00.645803095+00:00,0,1,78460,T,A,0,80.81,1,0,16322,170598864,CLF4
2023-11-01 00:00:00.744266667+00:00,2023-11-01 00:00:00.744048531+00:00,0,1,78460,T,B,0,80.83,1,0,16603,170598959,CLF4
2023-11-01 00:00:00.744633641+00:00,2023-11-01 00:00:00.744404429+00:00,0,1,78460,T,B,0,80.83,1,0,16650,170598963,CLF4
2023-11-01 00:00:00.744665825+00:00,2023-11-01 00:00:00.744437875+00:00,0,1,78460,T,B,0,80.83,1,0,14138,170598966,CLF4
2023-11-01 00:00:01.197451928+00:00,2023-11-01 00:00:01.188998145+00:00,0,1,78460,T,B,0,80.84,2,0,17367,170602885,CLF4
2023-11-01 00:00:01.197591833+00:00,2023-11-01 00:00:01.189022137+00:00,0,1,78460,T,B,0,80.84,1,0,14352,170602895,CLF4
2023-11-01 00:00:01.199437414+00:00,2023-11-01 00:00:01.198174433+00:00,0,1,78460,T,B,0,80.85,1,0,14070,170603019,CLF4
2023-11-01 00:00:02.318752628+00:00,2023-11-01 00:00:02.317085971+00:00,0,1,78460,T,N,0,80.86,1,0,14739,170604853,CLF4
2023-11-01 00:00:02.330771770+00:00,2023-11-01 00:00:02.330540119+00:00,0,1,78460,T,B,0,80.87,1,0,17215,170605271,CLF4
2023-11-01 00:00:04.342525526+00:00,2023-11-01 00:00:04.342235635+00:00,0,1,78460,T,A,0,80.86,1,0,16089,170606360,CLF4
2023-11-01 00:00:04.991447354+00:00,2023-11-01 00:00:04.987668383+00:00,0,1,78460,T,A,0,80.85,1,0,13541,170606534,CLF4
2023-11-01 00:00:04.992099944+00:00,2023-11-01 00:00:04.987746619+00:00,0,1,78460,T,A,0,80.85,2,128,13750,170606599,CLF4
2023-11-01 00:00:04.997496247+00:00,2023-11-01 00:00:04.990828269+00:00,0,1,78460,T,A,0,80.85,1,0,13539,170607074,CLF4
2023-11-01 00:00:04.997496247+00:00,2023-11-01 00:00:04.990828269+00:00,0,1,78460,T,A,0,80.84,1,0,13539,170607074,CLF4
2023-11-01 00:00:05.090520535+00:00,2023-11-01 00:00:05.090285279+00:00,0,1,78460,T,B,0,80.86,1,0,17218,170610271,CLF4
2023-11-01 00:00:05.268632878+00:00,2023-11-01 00:00:05.260089709+00:00,0,1,78460,T,N,0,80.87,1,0,14617,170611036,CLF4
2023-11-01 00:00:10.535656873+00:00,2023-11-01 00:00:10.535400433+00:00,0,1,78460,T,B,0,80.86,1,0,16494,170614489,CLF4
2023-11-01 00:00:11.001263257+00:00,2023-11-01 00:00:11.000987015+00:00,0,1,78460,T,B,0,80.85,1,0,16649,170616396,CLF4
2023-11-01 00:00:11.014579018+00:00,2023-11-01 00:00:11.014190715+00:00,0,1,78460,T,B,0,80.85,2,0,16871,170616783,CLF4
2023-11-01 00:00:22.107317289+00:00,2023-11-01 00:00:22.107068699+00:00,0,1,78460,T,B,0,80.84,1,0,16594,170623617,CLF4
2023-11-01 00:00:22.334392430+00:00,2023-11-01 00:00:22.325843953+00:00,0,1,78460,T,B,0,80.85,1,0,14245,170624193,CLF4
2023-11-01 00:00:23.347924279+00:00,2023-11-01 00:00:23.347564985+00:00,0,1,78460,T,B,0,80.85,1,0,16644,170625126,CLF4
2023-11-01 00:00:24.700965536+00:00,2023-11-01 00:00:24.697623955+00:00,0,1,78460,T,B,0,80.86,1,0,14042,170625608,CLF4
2023-11-01 00:00:26.678857175+00:00,2023-11-01 00:00:26.678581825+00:00,0,1,78460,T,B,0,80.87,1,0,17099,170627196,CLF4
2023-11-01 00:00:26.687154842+00:00,2023-11-01 00:00:26.678598075+00:00,0,1,78460,T,B,0,80.87,1,0,14879,170627208,CLF4
2023-11-01 00:00:26.687429946+00:00,2023-11-01 00:00:26.678656655+00:00,0,1,78460,T,B,0,80.87,1,0,13857,170627234,CLF4
2023-11-01 00:00:26.689461249+00:00,2023-11-01 00:00:26.687169845+00:00,0,1,78460,T,B,0,80.87,1,128,13263,170627380,CLF4
2023-11-01 00:00:27.760303425+00:00,2023-11-01 00:00:27.752643661+00:00,0,1,78460,T,B,0,80.88,2,0,13791,170628609,CLF4
2023-11-01 00:00:29.284522226+00:00,2023-11-01 00:00:29.283718173+00:00,0,1,78460,T,B,0,80.89,1,0,14037,170630531,CLF4
2023-11-01 00:00:29.284642164+00:00,2023-11-01 00:00:29.283928563+00:00,0,1,78460,T,B,0,80.89,4,0,13400,170630537,CLF4
2023-11-01 00:00:30.047444759+00:00,2023-11-01 00:00:30.047165203+00:00,0,1,78460,T,A,0,80.87,1,0,16085,170632225,CLF4
2023-11-01 00:00:31.267846178+00:00,2023-11-01 00:00:31.267581131+00:00,0,1,78460,T,B,0,80.89,1,0,16665,170632691,CLF4
2023-11-01 00:00:36.757422253+00:00,2023-11-01 00:00:36.757127795+00:00,0,1,78460,T,B,0,80.89,1,0,19732,170633508,CLF4
2023-11-01 00:00:40.772415576+00:00,2023-11-01 00:00:40.771398535+00:00,0,1,78460,T,B,0,80.89,1,0,25877,170634473,CLF4
2023-11-01 00:00:40.778193923+00:00,2023-11-01 00:00:40.776453821+00:00,0,1,78460,T,B,0,80.9,1,0,13434,170634843,CLF4
2023-11-01 00:00:40.779258701+00:00,2023-11-01 00:00:40.778188593+00:00,0,1,78460,T,N,0,80.9,1,0,13703,170634943,CLF4
2023-11-01 00:00:40.794247931+00:00,2023-11-01 00:00:40.793574121+00:00,0,1,78460,T,B,0,80.9,4,0,15873,170635310,CLF4
2023-11-01 00:00:41.579128246+00:00,2023-11-01 00:00:41.572133425+00:00,0,1,78460,T,B,0,80.9,1,0,17384,170636440,CLF4
