open,high,low,close,volume,vwap,timestamp,transactions,otc,time
79.01,79.01,79.01,79.01,152.0,79.0143,1672750800000,4.0,,2023-01-03 08:00:00-05:00
78.87,78.87,78.86,78.86,353.0,78.8672,1672752600000,2.0,,2023-01-03 08:30:00-05:00
78.79,78.81,78.5,78.52,136205.0,78.6752,1672756200000,1584.0,,2023-01-03 09:30:00-05:00
78.52,78.53,78.19,78.2,125733.0,78.3729,1672757100000,1644.0,,2023-01-03 09:45:00-05:00
78.21,78.47,78.21,78.4676,55790.0,78.3557,1672758000000,1213.0,,2023-01-03 10:00:00-05:00
78.46,78.5129,78.32,78.375,66481.0,78.4544,1672758900000,1196.0,,2023-01-03 10:15:00-05:00
78.38,78.48,78.32,78.41,42241.0,78.4098,1672759800000,926.0,,2023-01-03 10:30:00-05:00
78.42,78.46,78.11,78.25,63099.0,78.2682,1672760700000,1285.0,,2023-01-03 10:45:00-05:00
78.2482,78.33,77.95,77.96,77311.0,78.2236,1672761600000,1008.0,,2023-01-03 11:00:00-05:00
77.96,78.09,77.95,78.07,59775.0,78.031,1672762500000,1026.0,,2023-01-03 11:15:00-05:00
78.05,78.125,77.97,78.075,98971.0,78.0521,1672763400000,1363.0,,2023-01-03 11:30:00-05:00
78.08,78.2,77.99,78.005,59583.0,78.0733,1672764300000,1042.0,,2023-01-03 11:45:00-05:00
78.01,78.02,77.77,78.0,89355.0,77.8849,1672765200000,1453.0,,2023-01-03 12:00:00-05:00
77.995,78.05,77.89,77.91,82285.0,77.9668,1672766100000,1420.0,,2023-01-03 12:15:00-05:00
77.915,78.08,77.88,77.925,72963.0,78.0123,1672767000000,1210.0,,2023-01-03 12:30:00-05:00
77.92,77.92,77.72,77.83,53938.0,77.8146,1672767900000,1014.0,,2023-01-03 12:45:00-05:00
77.82,77.985,77.81,77.985,61256.0,77.8892,1672768800000,1014.0,,2023-01-03 13:00:00-05:00
77.99,78.28,77.97,78.25,62827.0,78.1359,1672769700000,1093.0,,2023-01-03 13:15:00-05:00
78.24,78.4,78.24,78.35,43833.0,78.3134,1672770600000,901.0,,2023-01-03 13:30:00-05:00
78.3503,78.57,78.31,78.54,33347.0,78.4813,1672771500000,704.0,,2023-01-03 13:45:00-05:00
78.55,78.57,78.44,78.48,45684.0,78.5016,1672772400000,936.0,,2023-01-03 14:00:00-05:00
78.5,78.55,78.35,78.36,54153.0,78.4613,1672773300000,838.0,,2023-01-03 14:15:00-05:00
78.35,78.435,78.19,78.43,62870.0,78.2986,1672774200000,982.0,,2023-01-03 14:30:00-05:00
78.43,78.62,78.43,78.585,79293.0,78.5406,1672775100000,1259.0,,2023-01-03 14:45:00-05:00
78.59,78.785,78.59,78.77,94164.0,78.6802,1672776000000,1458.0,,2023-01-03 15:00:00-05:00
78.78,78.87,78.65,78.74,93789.0,78.7601,1672776900000,1622.0,,2023-01-03 15:15:00-05:00
78.74,78.92,78.73,78.86,114212.0,78.8491,1672777800000,1946.0,,2023-01-03 15:30:00-05:00
78.8615,79.17,78.84,79.12,362936.0,79.0464,1672778700000,5488.0,,2023-01-03 15:45:00-05:00
79.13,79.13,79.13,79.13,120930.0,79.13,1672779600000,60.0,,2023-01-03 16:00:00-05:00
79.29,79.29,79.29,79.29,1051.0,79.29,1672782300000,3.0,,2023-01-03 16:45:00-05:00
79.36,79.55,79.36,79.55,557.0,79.3542,1672841700000,25.0,,2023-01-04 09:15:00-05:00
79.2,79.54,79.185,79.48,128567.0,79.3242,1672842600000,1365.0,,2023-01-04 09:30:00-05:00
79.46,79.705,79.2,79.66,212349.0,79.2894,1672843500000,1255.0,,2023-01-04 09:45:00-05:00
79.65,79.73,79.31,79.385,112548.0,79.4817,1672844400000,1922.0,,2023-01-04 10:00:00-05:00
79.38,79.47,79.3,79.4579,51996.0,79.3745,1672845300000,1139.0,,2023-01-04 10:15:00-05:00
79.46,79.56,79.4,79.56,66353.0,79.447,1672846200000,1213.0,,2023-01-04 10:30:00-05:00
79.55,79.74,79.55,79.735,57479.0,79.6576,1672847100000,1317.0,,2023-01-04 10:45:00-05:00
79.75,79.84,79.74,79.8,49548.0,79.7793,1672848000000,1161.0,,2023-01-04 11:00:00-05:00
79.81,79.82,79.68,79.77,43812.0,79.7407,1672848900000,1103.0,,2023-01-04 11:15:00-05:00
79.78,80.03,79.77,80.03,105064.0,79.9701,1672849800000,1397.0,,2023-01-04 11:30:00-05:00
80.03,80.09,79.96,80.03,87502.0,80.0188,1672850700000,1336.0,,2023-01-04 11:45:00-05:00
80.04,80.12,80.01,80.05,51415.0,80.0706,1672851600000,1010.0,,2023-01-04 12:00:00-05:00
80.05,80.13,79.99,80.07,51970.0,80.0489,1672852500000,1024.0,,2023-01-04 12:15:00-05:00
80.075,80.09,79.87,79.895,69900.0,80.0042,1672853400000,1410.0,,2023-01-04 12:30:00-05:00
79.91,79.919,79.745,79.76,55844.0,79.8322,1672854300000,1216.0,,2023-01-04 12:45:00-05:00
79.755,79.85,79.69,79.81,38703.0,79.7807,1672855200000,1104.0,,2023-01-04 13:00:00-05:00
79.79,79.955,79.78,79.9,80347.0,79.8875,1672856100000,1160.0,,2023-01-04 13:15:00-05:00
79.91,80.015,79.88,79.88,38454.0,79.9594,1672857000000,982.0,,2023-01-04 13:30:00-05:00
